Description	ID	tita	tlon	tcan	tusa	dmag	dpul	afra	ocin	tcas	lart	lubb	lapu	lcou	etex
NA	OG0000013	6	11	7	15	22	33	11	13	29	4	11	7	9	15
NA	OG0000015	20	12	18	19	15	17	10	13	2	8	15	11	8	10
NA	OG0000017	13	12	11	13	12	13	9	8	22	10	11	12	11	17
NA	OG0000018	12	10	13	10	20	33	12	4	6	9	8	13	11	12
NA	OG0000019	15	12	14	15	19	25	4	5	6	18	4	14	3	12
NA	OG0000020	32	17	36	0	7	2	0	0	0	7	20	11	11	21
NA	OG0000021	6	10	23	28	13	21	0	2	6	7	18	13	2	14
NA	OG0000022	9	10	12	10	13	11	11	14	19	6	14	9	9	15
NA	OG0000023	12	0	6	7	46	9	6	28	0	11	17	4	9	6
NA	OG0000024	9	7	11	11	22	40	5	2	1	10	9	10	7	15
NA	OG0000026	20	19	28	25	1	3	4	0	1	11	15	11	11	6
NA	OG0000027	8	11	6	4	19	37	1	22	4	10	3	11	4	8
NA	OG0000029	9	3	8	8	19	25	2	18	23	6	4	5	5	11
NA	OG0000031	10	9	10	10	9	11	8	9	16	10	10	10	9	14
NA	OG0000032	9	5	7	9	13	20	4	11	9	10	13	11	11	9
NA	OG0000035	9	7	8	8	14	16	4	31	17	3	4	3	4	10
NA	OG0000037	10	0	10	15	6	55	0	0	1	3	6	8	7	15
NA	OG0000038	7	4	5	6	55	16	0	0	0	15	8	10	7	0
NA	OG0000039	10	4	9	9	19	28	12	0	0	7	7	8	8	9
NA	OG0000040	4	0	1	0	39	9	0	2	1	13	21	7	6	22
NA	OG0000042	60	0	1	4	0	0	6	20	2	9	0	2	11	5
NA	OG0000043	7	10	11	10	6	16	4	2	1	10	10	9	9	14
NA	OG0000044	4	0	11	1	2	2	1	0	2	20	14	35	19	7
NA	OG0000045	10	7	9	8	10	8	3	7	12	6	7	6	8	17
NA	OG0000046	1	0	1	2	29	3	50	0	12	2	3	0	2	10
NA	OG0000047	8	5	13	12	4	5	2	10	9	13	3	13	9	6
NA	OG0000048	9	9	8	8	6	10	2	0	4	12	14	10	12	6
NA	OG0000049	14	21	12	21	2	5	0	0	0	6	13	11	3	0
NA	OG0000050	9	6	8	8	8	8	7	7	9	6	8	6	7	10
NA	OG0000052	4	4	4	4	17	36	10	1	0	4	4	4	4	10
NA	OG0000053	17	0	5	6	13	5	5	7	5	3	14	14	9	3
NA	OG0000054	21	0	4	0	36	6	0	0	0	9	4	6	3	17
NA	OG0000055	6	8	7	6	19	16	5	15	6	3	4	3	3	4
NA	OG0000056	1	9	13	9	1	0	0	13	7	15	14	6	6	11
NA	OG0000057	44	0	17	13	0	0	0	0	0	10	6	5	9	0
NA	OG0000058	25	8	28	26	0	0	0	0	0	7	2	0	8	0
NA	OG0000059	7	6	7	8	3	4	1	5	5	7	6	11	11	21
NA	OG0000060	10	16	22	20	2	7	0	0	0	16	2	4	1	2
NA	OG0000061	4	2	5	4	3	2	3	7	52	2	2	3	3	9
NA	OG0000062	0	0	0	0	98	2	0	0	0	0	0	0	1	0
NA	OG0000063	10	2	3	18	0	0	0	0	0	8	8	12	3	37
NA	OG0000064	3	2	5	3	12	17	16	9	11	2	1	2	2	15
NA	OG0000065	0	0	0	0	76	12	1	1	7	0	1	0	0	1
NA	OG0000066	0	0	0	0	94	1	1	0	0	0	0	0	1	0
NA	OG0000067	10	7	8	8	11	20	0	3	0	6	5	8	8	3
NA	OG0000068	7	12	8	8	4	7	5	2	12	4	4	5	3	15
NA	OG0000070	8	4	6	6	6	8	7	14	6	5	5	5	5	10
NA	OG0000071	14	10	22	17	2	2	2	1	1	7	7	4	3	3
NA	OG0000073	16	12	6	12	0	0	0	7	2	9	12	4	8	7
NA	OG0000074	5	4	5	5	7	7	6	10	14	5	5	5	5	10
NA	OG0000075	34	0	18	24	0	0	0	0	0	4	5	1	7	0
NA	OG0000076	14	10	11	12	2	1	0	0	0	10	8	8	9	6
NA	OG0000077	0	0	0	0	5	85	0	0	0	0	0	0	1	0
NA	OG0000078	10	7	10	10	1	6	6	10	1	4	5	5	3	12
NA	OG0000079	12	3	13	12	2	2	0	0	0	12	15	17	2	0
NA	OG0000080	21	0	21	15	0	0	0	0	0	12	10	6	5	0
NA	OG0000081	4	2	4	5	2	1	1	14	30	1	4	7	6	8
NA	OG0000082	7	6	7	8	12	13	3	8	7	3	3	3	3	6
NA	OG0000083	10	2	6	6	15	18	1	8	0	2	6	6	4	4
NA	OG0000084	17	0	3	0	32	8	0	1	0	5	3	12	4	3
NA	OG0000085	12	7	11	10	3	4	6	2	5	4	6	5	4	8
NA	OG0000086	3	1	3	3	7	11	12	9	10	4	4	4	3	13
NA	OG0000087	31	0	8	5	1	8	0	0	0	2	8	17	6	0
NA	OG0000088	2	3	3	3	13	22	5	16	1	3	3	5	3	3
NA	OG0000089	7	9	6	5	8	9	1	1	1	8	7	6	8	9
NA	OG0000091	6	5	6	8	5	12	3	6	1	5	5	6	6	9
NA	OG0000092	6	3	5	5	3	6	5	7	20	4	4	4	4	7
NA	OG0000093	8	12	7	6	10	24	1	0	0	1	7	4	1	2
NA	OG0000094	0	0	0	0	0	0	81	0	0	0	0	0	0	1
NA	OG0000095	1	1	1	1	1	2	0	33	30	2	1	1	1	7
NA	OG0000096	3	3	4	3	6	9	6	20	3	3	6	2	4	9
NA	OG0000097	1	1	1	1	66	1	2	1	1	1	1	1	1	2
NA	OG0000098	2	9	8	0	0	1	1	0	1	11	13	27	6	2
NA	OG0000099	6	4	6	3	5	5	6	19	5	5	3	4	2	7
NA	OG0000100	8	3	8	8	2	8	13	13	4	1	2	2	1	7
NA	OG0000101	13	1	7	12	0	0	1	4	0	0	0	0	20	22
NA	OG0000102	4	0	2	2	25	6	0	0	0	6	9	10	5	11
NA	OG0000103	1	11	14	13	0	0	0	0	0	10	12	10	9	0
NA	OG0000105	6	5	7	6	0	1	5	7	11	9	10	9	3	0
NA	OG0000106	1	1	0	2	9	19	7	13	6	3	3	3	2	10
NA	OG0000107	8	2	5	6	10	25	5	1	7	2	1	2	2	3
NA	OG0000108	4	5	7	8	6	8	3	8	4	7	7	1	6	3
NA	OG0000109	3	3	3	2	17	31	3	5	1	1	1	1	3	3
NA	OG0000110	4	1	3	3	4	14	2	17	5	4	4	7	5	4
NA	OG0000111	2	2	1	1	6	11	3	3	2	5	5	5	9	20
NA	OG0000112	4	2	5	4	11	7	4	2	8	3	3	3	4	15
NA	OG0000113	3	3	3	3	8	8	5	16	4	3	3	3	3	10
NA	OG0000114	5	3	3	4	4	6	15	10	8	3	3	3	4	4
NA	OG0000115	2	4	3	3	4	6	6	5	20	4	2	2	4	10
NA	OG0000116	7	3	7	6	7	10	1	1	9	5	4	4	5	5
NA	OG0000117	0	1	1	1	1	5	7	3	39	3	1	1	3	8
NA	OG0000118	7	1	4	3	8	7	3	14	6	4	5	3	3	6
NA	OG0000119	3	2	3	3	8	10	6	15	6	2	4	4	3	5
NA	OG0000120	4	3	4	3	5	6	5	9	16	4	3	4	3	5
NA	OG0000121	7	5	8	8	5	6	0	4	6	4	5	2	4	10
NA	OG0000122	4	3	4	4	11	20	4	3	1	4	4	4	4	3
NA	OG0000123	2	1	2	2	11	22	7	12	1	2	2	3	3	3
NA	OG0000124	10	0	1	1	0	0	0	0	3	16	18	4	7	13
NA	OG0000125	0	2	1	2	15	12	0	0	4	4	0	17	4	11
NA	OG0000126	4	2	3	3	2	4	5	4	22	2	2	2	2	14
NA	OG0000127	6	4	6	5	8	6	2	3	5	6	3	3	6	8
NA	OG0000128	5	3	6	6	4	4	1	13	8	4	4	5	5	3
NA	OG0000131	0	0	0	12	9	11	0	0	0	3	6	5	4	21
NA	OG0000133	5	11	19	16	0	0	0	0	0	4	5	3	6	2
NA	OG0000134	0	0	0	0	9	26	0	0	0	9	8	7	3	8
NA	OG0000135	5	0	3	4	28	13	0	0	0	1	4	8	4	0
NA	OG0000136	22	0	8	6	0	1	1	2	0	2	4	11	6	6
NA	OG0000137	1	1	2	1	1	1	1	47	2	1	1	2	1	6
NA	OG0000138	0	0	0	0	17	31	0	7	0	0	0	0	0	13
